block,condition,rt,subject_id
9.0,self,515.9072033333359,5
10.0,other,449.2208033332948,5
10.0,self,496.5794533333792,5
11.0,other,444.60895666649475,5
11.0,self,481.67519666661366,5
0.0,other,548.0626966672086,11
0.0,self,577.2082766667154,11
1.0,other,589.3783931033827,11
1.0,self,555.6888799999191,11
2.0,other,596.1378699996809,11
2.0,self,500.03908275852905,11
3.0,other,623.9302966666097,11
3.0,self,566.613659999833,11
4.0,other,525.445869999506,11
4.0,self,505.907790000371,11
5.0,other,518.861180000143,11
5.0,self,539.9400733333702,11
6.0,other,495.289243333779,11
6.0,self,440.60231999925844,11
7.0,other,556.9648333340107,11
7.0,self,500.88617333337123,11
8.0,other,517.5376533336627,11
8.0,self,492.5259172418135,11
9.0,other,490.29409666666953,11
9.0,self,468.37660333427874,11
10.0,other,499.8612466668419,11
10.0,self,542.9025000000062,11
11.0,other,498.33535333382315,11
11.0,self,556.3876000002589,11
0.0,other,595.4831533333769,15
0.0,self,622.487685714337,15
1.0,other,590.2201892857063,15
1.0,self,554.8704888888433,15
2.0,other,627.6768923076605,15
2.0,self,548.5271466666139,15
3.0,other,578.2376999999273,15
3.0,self,647.6141499999964,15
4.0,other,640.3487551725166,15
4.0,self,731.2718620690342,15
5.0,other,642.0704965517118,15
5.0,self,737.508676666736,15
6.0,other,902.7935923077865,15
6.0,self,728.3036533334174,15
7.0,other,970.6359000001612,15
7.0,self,541.287674999694,15
0.0,other,502.4424750000175,14
0.0,self,498.04125555574836,14
1.0,other,571.8993714285067,14
1.0,self,487.4617833333711,14
2.0,other,527.5509199999457,14
2.0,self,520.7945172415152,14
3.0,other,504.20490344813203,14
3.0,self,494.30143103438303,14
4.0,other,466.8225233332123,14
4.0,self,493.35252500012365,14
5.0,other,467.7241566666756,14
5.0,self,476.7558400002599,14
6.0,other,466.7605633335673,14
6.0,self,496.76587142844903,14
7.0,other,456.0171866665769,14
7.0,self,461.45699999997305,14
8.0,other,455.5498233331794,14
8.0,self,464.14074333357956,14
9.0,other,447.00596206881715,14
9.0,self,481.2520800001342,14
10.0,other,440.3855137933188,14
10.0,self,452.4372233328904,14
11.0,other,460.8085599997139,14
11.0,self,462.665243333322,14
0.0,other,466.5988851845247,2
0.0,self,480.7536785717405,2
1.0,other,507.12062143325704,2
1.0,self,439.7792300005676,2
2.0,other,490.2901500007526,2
2.0,self,390.59396896406946,2
3.0,other,500.44772857030955,2
3.0,self,468.97646333187976,2
4.0,other,429.97909999394324,2
4.0,self,550.9770933325248,2
5.0,other,426.4110392884634,2
5.0,self,467.37196666266146,2
6.0,other,417.33315926049494,2
6.0,self,542.1173733348647,2
7.0,other,331.43011199776083,2
7.0,self,411.3006678578261,2
8.0,other,385.7001166664607,2
8.0,self,513.5829620713625,2
9.0,other,409.0512137978482,2
9.0,self,434.5967133335459,2
10.0,other,504.6297655167893,2
10.0,self,495.87823448257103,2
11.0,other,438.0176500000137,2
11.0,self,451.9388866639929,2
0.0,other,484.47028499997487,3
0.0,self,461.7042518518533,3
1.0,other,446.0579285714305,3
1.0,self,423.0515750000287,3
2.0,other,338.5703137930626,3
2.0,self,331.7967620689536,3
3.0,other,342.56490344829405,3
3.0,self,348.98112333333603,3
4.0,other,322.22457931029254,3
4.0,self,273.85960689651193,3
5.0,other,257.38482333332894,3
5.0,self,329.30054827589817,3
6.0,other,240.35005666666316,3
6.0,self,302.40954666666465,3
7.0,other,270.59524999996637,3
7.0,self,298.85442962960144,3
8.0,other,213.6767206896303,3
8.0,self,255.42651034477566,3
9.0,other,265.5766833333776,3
9.0,self,316.19342413791696,3
10.0,other,268.8044433333289,3
10.0,self,318.0533999999928,3
11.0,other,255.35450333330422,3
11.0,self,298.48467666665783,3
